lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
bchd-osu,mb_0001,Training,train1,-2,12.416,17.153,noerror,NA,NA
bchd-osu,mb_0001,Training,train2,-1,3.023,5.025,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS1,1,3.392,6.784,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS1,2,3.92,5.921,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS2,3,4.768,6.77,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS2,4,3.217,5.217,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS3,5,2.464,4.465,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS3,6,9.552,11.553,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS4,7,3.408,6.416,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS4,8,2.32,4.321,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS5,9,2.416,4.417,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS5,10,1.888,3.888,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS6,11,1.664,3.665,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS6,12,1.952,3.953,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS7,13,2.544,4.545,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS7,14,5.711,9.489,noerror,NA,NA
bchd-osu,mb_0001,ADS,ADS8,15,11.504,13.505,noerror,NA,NA
bchd-osu,mb_0001,IDS,IDS8,16,3.888,5.888,noerror,NA,NA
bchd-osu,mb_0002,Training,train1,-2,15.074,17.826,noerror,NA,NA
bchd-osu,mb_0002,Training,train2,-1,4.864,6.865,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS1,1,16.674,17.826,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS1,2,3.712,5.713,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS2,3,9.696,11.696,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS2,4,8.608,10.609,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS3,5,1.521,3.521,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS3,6,9.632,14.241,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS4,7,2.064,4.065,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS4,8,5.185,7.745,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS5,9,5.52,7.52,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS5,10,2.544,6.769,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS6,11,4.208,7.712,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS6,12,6.288,10.577,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS7,13,4.56,6.945,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS7,14,6.224,11.201,noerror,NA,NA
bchd-osu,mb_0002,ADS,ADS8,15,9.088,13.761,noerror,NA,NA
bchd-osu,mb_0002,IDS,IDS8,16,2.8,4.8,noerror,NA,NA
bchd-osu,mb_0003,Training,Training2,-2,1.617,3.617,noerror,NA,NA
bchd-osu,mb_0003,Training,Training1,-1,1.664,3.665,error,parent interference,parent pointed at the screen
bchd-osu,mb_0003,ADS,ADS1,1,11.536,15.216,noerror,NA,NA
bchd-osu,mb_0003,IDS,IDS1,2,2.688,4.689,noerror,NA,NA
bchd-osu,mb_0003,ADS,ADS2,3,5.84,7.841,error,parent interference,parent pointed at the screen
bchd-osu,mb_0003,IDS,IDS2,4,4.736,8.784,noerror,NA,NA
bchd-osu,mb_0003,IDS,IDS3,5,6.112,8.113,noerror,NA,NA
bchd-osu,mb_0003,ADS,ADS3,6,1.824,3.825,error,parent interference,parent talking to the child
bchd-osu,mb_0003,ADS,ADS4,7,6.657,12.161,error,parent interference,parent talking to the child
bchd-osu,mb_0003,IDS,IDS4,8,0.448,2.448,error,parent interference,parent talking to the child
bchd-osu,mb_0003,IDS,IDS5,9,4.816,10.241,error,parent interference,parent removed the headphones
bchd-osu,mb_0003,ADS,ADS5,10,0.576,2.578,noerror,off the camera,child stood up and walked
bchd-osu,mb_0003,IDS,IDS6,11,5.504,10,error,parent interference,mom talked and moved the child off camera
bchd-osu,mb_0003,ADS,ADS6,12,1.744,3.745,noerror,parent interference,mom talked 
bchd-osu,mb_0003,ADS,ADS7,13,2.576,4.577,error,NA,NA
bchd-osu,mb_0003,IDS,IDS7,14,5.568,9.457,noerror,parent interference,mom talked 
bchd-osu,mb_0003,IDS,IDS8,15,14.716,17.756,error,NA,NA
bchd-osu,mb_0003,ADS,ADS8,16,7.185,9.186,noerror,parent interference,mom talked 
bchd-osu,mb_0004,Training,Training2,-2,16.659,17.843,noerror,NA,NA
bchd-osu,mb_0004,Training,Training1,-1,16.844,17.788,noerror,NA,NA
