lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
earlysocog-fm,s01,training,train1,-2,"	14.93","	15.01",error,NA,NA
earlysocog-fm,s01,training,train2,-1,"	9.40","	11.78",error,NA,NA
earlysocog-fm,s01,IDS,IDS1,1,"	14.68","	15.01",error,NA,NA
earlysocog-fm,s01,ADS,ADS1,2,"	13.77","	15.01",error,NA,NA
earlysocog-fm,s01,IDS,IDS2,3,"	14.75","	15.01",error,NA,NA
earlysocog-fm,s01,ADS,ADS2,4,"	3.71","	5.97",error,NA,NA
earlysocog-fm,s01,ADS,ADS3,5,"	10.18","	14.57",error,NA,NA
earlysocog-fm,s01,IDS,IDS3,6,"	14.69","	15.00",error,NA,NA
earlysocog-fm,s01,IDS,IDS4,7,"	7.94","	10.15",error,NA,NA
earlysocog-fm,s01,ADS,ADS4,8,"	4.59","	6.91",error,NA,NA
earlysocog-fm,s01,ADS,ADS5,9,"	2.16","	5.78",error,NA,NA
earlysocog-fm,s01,IDS,IDS5,10,"	0.00","	2.01",error,NA,NA
earlysocog-fm,s01,ADS,ADS6,11,"	0.00","	2.01",error,NA,NA
earlysocog-fm,s01,IDS,IDS6,12,NC,NC,error,NA,NA
earlysocog-fm,s01,IDS,IDS7,13,NC,NC,error,NA,NA
earlysocog-fm,s01,ADS,ADS7,14,NC,NC,error,NA,NA
earlysocog-fm,s01,ADS,ADS8,15,NC,NC,error,NA,NA
earlysocog-fm,s01,IDS,IDS8,16,NC,NC,error,NA,NA
earlysocog-fm,s02,training,train2,-2,"	1.51","	3.72",noerror,NA,NA
earlysocog-fm,s02,training,train1,-1,"	6.68","	9.02",noerror,NA,NA
earlysocog-fm,s02,ADS,ADS1,1,"	6.34","	8.53",noerror,NA,NA
earlysocog-fm,s02,IDS,IDS1,2,"	13.94","	15.01",noerror,NA,NA
earlysocog-fm,s02,ADS,ADS2,3,"	2.19","	4.40",error,NA,NA
earlysocog-fm,s02,IDS,IDS2,4,"	8.13","	14.34",error,NA,NA
earlysocog-fm,s02,IDS,IDS3,5,"	4.18","	7.33",error,NA,NA
earlysocog-fm,s02,ADS,ADS3,6,"	0.79","	2.83",error,NA,NA
earlysocog-fm,s02,ADS,ADS4,7,"	0.00","	2.00",error,NA,NA
earlysocog-fm,s02,IDS,IDS4,8,"	4.15","	6.58",error,NA,NA
earlysocog-fm,s02,IDS,IDS5,9,"	0.90","	3.43",error,NA,NA
earlysocog-fm,s02,ADS,ADS5,10,"	9.31","	11.70",error,NA,NA
earlysocog-fm,s02,IDS,IDS6,11,"	0.00","	2.00",error,NA,NA
earlysocog-fm,s02,ADS,ADS6,12,"	2.00","	4.32",error,NA,NA
earlysocog-fm,s02,ADS,ADS7,13,"	4.60","	6.90",error,NA,NA
earlysocog-fm,s02,IDS,IDS7,14,"	0.00","	2.01",error,NA,NA
earlysocog-fm,s02,IDS,IDS8,15,"	0.38","	2.66",error,NA,NA
earlysocog-fm,s02,ADS,ADS8,16,"	0.00","	2.00",error,NA,NA
earlysocog-fm,s03,training,train1,-2,NC,NC,noerror,NA,NA
earlysocog-fm,s03,training,train2,-1,NC,NC,noerror,NA,NA
earlysocog-fm,s03,IDS,IDS5,1,NC,NC,noerror,NA,baby re-positioned in the beginning 
earlysocog-fm,s03,ADS,ADS5,2,NC,NC,noerror,NA,NA
earlysocog-fm,s03,ADS,ADS7,3,NC,NC,noerror,NA,NA
earlysocog-fm,s03,IDS,IDS7,4,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS1,5,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS1,6,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS3,7,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS3,8,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS2,9,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS2,10,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS4,11,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS4,12,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS6,13,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS6,14,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,IDS,IDS8,15,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s03,ADS,ADS8,16,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,training,train2,-2,"	11.10","	13.26",noerror,NA,NA
earlysocog-fm,s04,training,train1,-1,"	5.31","	7.77",noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,ADS,ADS5,1,"	14.71","	15.02",noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,IDS,IDS5,2,"	13.67","	15.00",noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,IDS,IDS7,3,"	0.73","	2.91",noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,ADS,ADS7,4,NC,NC,noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,IDS,IDS1,5,NC,NC,noerror,NA,baby played with ipod for most of the time
earlysocog-fm,s04,ADS,ADS1,6,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,IDS,IDS3,7,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,ADS,ADS3,8,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,IDS,IDS2,9,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,ADS,ADS2,10,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,ADS,ADS4,11,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,IDS,IDS4,12,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,ADS,ADS6,13,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,IDS,IDS6,14,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,ADS,ADS8,15,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s04,IDS,IDS8,16,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,training,train1,-2,"	0.00","	2.00",noerror,NA,mom pointed baby towards screen
earlysocog-fm,s05,training,train2,-1,"	3.45","	5.73",noerror,NA,NA
earlysocog-fm,s05,IDS,IDS1,1,"	13.14","	15.00",noerror,NA,NA
earlysocog-fm,s05,ADS,ADS1,2,"	14.84","	15.02",noerror,NA,baby re-positioned throughout
earlysocog-fm,s05,IDS,IDS2,3,"	11.36","	14.66",noerror,NA,baby re-positioned throughout
earlysocog-fm,s05,ADS,ADS2,4,"	4.27","	6.84",noerror,NA,baby re-positioned throughout
earlysocog-fm,s05,ADS,ADS3,5,"	4.87","	8.79",error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS3,6,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS4,7,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,ADS,ADS4,8,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,ADS,ADS5,9,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS5,10,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,ADS,ADS6,11,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS6,12,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS7,13,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,ADS,ADS7,14,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,ADS,ADS8,15,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s05,IDS,IDS8,15,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s06,training,train2,-2,"	9.18","	11.46",noerror,NA,baby eating graham crackers throughout 
earlysocog-fm,s06,training,train1,-1,"	7.34","	9.60",noerror,NA,baby eating graham crackers throughout 
earlysocog-fm,s06,ADS,ADS1,1,"	3.39","	7.09",noerror,NA,baby eating graham crackers throughout 
earlysocog-fm,s06,IDS,IDS1,2,"	1.38","	3.94",noerror,NA,baby eating graham crackers throughout 
earlysocog-fm,s06,ADS,ADS2,3,"	13.50","	15.01",noerror,NA,baby eating graham crackers throughout 
earlysocog-fm,s06,IDS,IDS2,4,"	0.00","	2.00",noerror,NA,distracted by knocking ipod off 
earlysocog-fm,s06,IDS,IDS3,5,"	13.38","	15.00",noerror,NA,NA
earlysocog-fm,s06,ADS,ADS3,6,"	0.00","	2.00",noerror,NA,NA
earlysocog-fm,s06,ADS,ADS4,7,"	6.14","	8.53",noerror,NA,dropped graham cracker
earlysocog-fm,s06,IDS,IDS4,8,"	0.00","	2.00",noerror,NA,baby re-positioned during 
earlysocog-fm,s06,IDS,IDS5,9,"	5.08","	8.92",noerror,NA,NA
earlysocog-fm,s06,ADS,ADS5,10,"	4.58","	6.89",noerror,NA,NA
earlysocog-fm,s06,IDS,IDS6,11,"	0.00","	2.00",noerror,NA,NA
earlysocog-fm,s06,ADS,ADS6,12,"	4.86","	7.29",error,baby re-positioned,NA
earlysocog-fm,s06,ADS,ADS7,13,"	0.00","	2.00",error,baby re-positioned,baby re-positioned during 
earlysocog-fm,s06,IDS,IDS7,14,"	0.00","	2.00",error,baby re-positioned,NA
earlysocog-fm,s06,IDS,IDS8,15,"	0.00","	2.00",error,baby re-positioned,NA
earlysocog-fm,s06,ADS,ADS8,16,NC,NC,noerror,NA,got fussy
earlysocog-fm,s07,training,train1,-2,"	13.56","	15.03",noerror,NA,NA
earlysocog-fm,s07,training,train2,-1,"	9.62","	15.00",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS5,1,"	13.03","	15.01",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS5,2,"	12.98","	15.02",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS7,3,"	12.16","	14.86",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS7,4,"	13.43","	15.00",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS1,5,"	5.96","	9.19",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS1,6,"	9.56","	11.83",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS3,7,"	6.01","	8.38",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS3,8,"	11.75","	15.01",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS2,9,"	7.03","	9.30",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS2,10,"	7.80","	14.01",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS4,11,"	8.31","	12.29",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS4,12,"	0.65","	3.11",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS6,13,"	4.94","	8.09",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS6,14,"	7.70","	14.64",noerror,NA,NA
earlysocog-fm,s07,IDS,IDS8,15,"	1.44","	3.88",noerror,NA,NA
earlysocog-fm,s07,ADS,ADS8,16,"	1.21","	4.19",noerror,NA,NA
earlysocog-fm,s08,training,train2,-2,"	0.91","	3.41",noerror,NA,NA
earlysocog-fm,s08,training,train1,-1,"	11.02","	13.44",noerror,NA,NA
earlysocog-fm,s08,ADS,ADS5,1,"	10.23","	14.16",noerror,NA,NA
earlysocog-fm,s08,IDS,IDS5,2,"	13.26","	15.01",noerror,NA,NA
earlysocog-fm,s08,IDS,IDS7,3,"	13.46","	15.01",noerror,NA,NA
earlysocog-fm,s08,ADS,ADS7,4,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,IDS,IDS1,5,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,ADS,ADS1,6,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,IDS,IDS3,7,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,ADS,ADS3,8,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,IDS,IDS2,9,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,ADS,ADS2,10,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,ADS,ADS4,11,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,IDS,IDS4,12,NC,NC,error,got fussy and ended early,NA
earlysocog-fm,s08,ADS,ADS6,13,NC,NC,error,got fussy and ended early,NA
