lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
infantll-madison,mb_003,training,training,-2,11.621,15.2,noerror,NA,NA
infantll-madison,mb_003,training,training,-1,16.879,18.03,noerror,NA,NA
infantll-madison,mb_003,IDS,IDS1,1,5.726,8.794,noerror,NA,NA
infantll-madison,mb_003,ADS,ADS1,2,4.492,6.496,noerror,NA,NA
infantll-madison,mb_003,IDS,IDS2,3,6.318,8.328,noerror,NA,NA
infantll-madison,mb_003,ADS,ADS2,4,3.102,5.113,noerror,NA,NA
infantll-madison,mb_003,ADS,ADS3,5,1.087,3.097,noerror,NA,NA
infantll-madison,mb_003,IDS,IDS3,6,2.43,4.432,noerror,NA,NA
infantll-madison,mb_003,IDS,IDS4,7,3.575,6.337,noerror,NA,NA
infantll-madison,mb_003,ADS,ADS4,8,8.271,13.94,noerror,NA,NA
infantll-madison,mb_003,ADS,ADS5,9,2.104,4.117,noerror,NA,NA
infantll-madison,mb_003,IDS,IDS5,10,2.956,5.692,noerror,NA,codable but baby began to get fussy
infantll-madison,mb_003,ADS,ADS6,11,NC,NC,error,experiment ended early,baby fussed out
infantll-madison,mb_003,IDS,IDS6,12,NC,NC,error,experiment ended early,NA
infantll-madison,mb_003,IDS,IDS7,13,NC,NC,error,experiment ended early,NA
infantll-madison,mb_003,ADS,ADS7,14,NC,NC,error,experiment ended early,NA
infantll-madison,mb_003,ADS,ADS8,15,NC,NC,error,experiment ended early,NA
infantll-madison,mb_003,IDS,IDS8,16,NC,NC,error,experiment ended early,NA
infantll-madison,mb_004,training,training,-2,13.101,15.985,noerror,NA,NA
infantll-madison,mb_004,training,training,-1,2.876,4.883,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS1,1,13.194,17.194,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS1,2,4.007,6.014,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS2,3,7.179,11.178,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS2,4,5.476,9.1,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS3,5,4.216,6.22,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS3,6,4.622,8.34,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS4,7,4.423,6.426,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS4,8,4.265,6.279,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS5,9,3.782,5.792,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS5,10,3.118,5.122,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS6,11,4.359,6.362,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS6,12,2.776,4.786,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS7,13,2.198,4.216,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS7,14,3.01,5.024,noerror,NA,NA
infantll-madison,mb_004,ADS,ADS8,15,2.111,4.562,noerror,NA,NA
infantll-madison,mb_004,IDS,IDS8,16,2.859,4.868,noerror,NA,NA
infantll-madison,mb_005,training,training,-2,13.699,18.008,noerror,NA,NA
infantll-madison,mb_005,training,training,-1,6.6,10.347,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS1,1,15.768,18.02,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS1,2,16.481,18.016,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS2,3,6.193,9.533,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS2,4,13.044,18.036,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS3,5,13.598,15.611,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS3,6,7.039,10.583,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS4,7,7.118,12.427,error,experimenter error,side sound was initiated before child looked to side monitor
infantll-madison,mb_005,IDS,IDS4,8,13.252,16.553,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS5,9,4.631,6.652,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS5,10,6.752,10.202,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS6,11,6.16,8.169,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS6,12,12.974,16.027,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS7,13,3.434,5.445,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS7,14,4.221,7.189,noerror,NA,NA
infantll-madison,mb_005,IDS,IDS8,15,8.974,10.991,noerror,NA,NA
infantll-madison,mb_005,ADS,ADS8,16,3.04,5.044,noerror,NA,NA
